pax_user_id,outlet,avg_rating,nps_category,domain,terminal,movement,channel,submitted_on,feedback
62ff964e65d8410013b567e4,loungenicobar2section2,9.0,Promoter,Lounge,T2,International,Offline,2026-05-22,"Everything is good.
Quality of food is good
Ms Debangsi was very polite and courteous
Only improvement area - request refill to be faster when the crowd is more"
631858e19c1c430013cebfba,Unspecified,10.0,Promoter,Cab,,,Online,2026-05-13,
6321d538549147001a581ef8,KabiniAreaLounge,10.0,Promoter,Lounge,T2,International,Offline,2026-06-04,Pragati has been great in hosting in business lounge and very open in terms of any suggestions and feedback to be provided for the lounge
632254408a55820014ae68c5,noodleeastpier,10.0,Promoter,FnB,T1,Domestic,Offline,2026-04-22,All is good
63283e8f4910a400135b404c,Unspecified,10.0,Promoter,Cab,,,Online,2026-04-15,
6328be984910a400135b4254,Unspecified,10.0,Promoter,Cab,,,Online,2026-06-14,
6335a9d04910a400135b7dfe,Unspecified,9.0,Promoter,Cab,,,Online,2026-06-07,
633fd44bfb87890013cddf72,GardenDiningSec2Lounge,10.0,Promoter,Lounge,T2,Domestic,Offline,2026-05-02,Good service.
634269cefb87890013cde8e4,DiningArea,10.0,Promoter,Lounge,T1,Domestic,Offline,2026-05-22,
6345ab59fb87890013cdfb3e,GardenDiningSec1Lounge,9.5,Promoter,Lounge,T2,Domestic,Offline,2026-06-04,
6347471dfb87890013ce1b55,Sec2Lounge,10.0,Promoter,Lounge,T2,International,Offline,2026-04-16,Shameen and Sanskrit provided a very good experience
63496735fb87890013ce31a7,smoor,10.0,Promoter,FnB,T1,Domestic,Offline,2026-04-20,
634cf0befb87890013ce4168,tasteofindia,9.75,Promoter,FnB,T1,Domestic,Offline,2026-05-17,Overall Excellent experience
634d4adbfb87890013ce42ce,Sec1Lounge,10.0,Promoter,Lounge,T2,International,Offline,2026-04-17,Card display system and scanning option for self checkin. Special thanks to Priyanka and Bhoomika.
634e808ffb87890013ce4845,KodaguCafeLounge,10.0,Promoter,Lounge,T2,Domestic,Offline,2026-05-20,
635362e57890b20013079bbb,GardenDiningSec2Lounge,10.0,Promoter,Lounge,T2,Domestic,Offline,2026-06-17,
635394da7890b20013079e88,laaltavita,10.0,Promoter,FnB,T1,Domestic,Offline,2026-06-15,There should be grilled sandwich because cold sandwich was not that good
6353a3137890b20013079f47,anandsweetspos4,9.25,Promoter,Retail,T1,Domestic,Offline,2026-04-09,.
6353e2e57890b2001307a3a0,SportsBarArea,10.0,Promoter,Lounge,T1,Domestic,Offline,2026-05-20,Very good
635511b7dbe53800128f8ea1,TransitHotelRoom,10.0,Promoter,Lounge,T1,Domestic,Offline,2026-06-16,
635553ecdbe53800128f9221,RelaxLounge,10.0,Promoter,Lounge,T1,Domestic,Offline,2026-05-23,
635553ecdbe53800128f9221,Level2,10.0,Promoter,Lounge,T1,Domestic,Offline,2026-06-01,Food is very exlend
6357931edbe53800128fa1ed,livingliquids,10.0,Promoter,Retail,T1,Domestic,Offline,2026-04-13,Very good Staff and good knowledge about brand
635916ecdbe53800128facba,windmills,10.0,Promoter,FnB,T1,Domestic,Offline,2026-04-17,Music and ambience and overall experience was so good.
635bd066dbe53800128fbecb,GardenDiningSec2Lounge,9.0,Promoter,Lounge,T2,Domestic,Offline,2026-05-24,All good. Need more items locally and traditionally.
635cebd5dbe53800128fc525,cafecoffeeday,10.0,Promoter,FnB,T1,Domestic,Offline,2026-04-20,Good
635d545cdbe53800128fc7d3,starbuckseastpier,10.0,Promoter,FnB,T1,Domestic,Offline,2026-04-20,Good experience
63618ae5dbe53800128fdf79,starbucksintl,10.0,Promoter,FnB,T2,International,Offline,2026-05-28,Good
6374b5ffdbe53800129034b8,ethos,10.0,Promoter,Retail,T2,International,Offline,2026-05-25,Checking
637d0e0bdbe53800129056bd,Level2,10.0,Promoter,Lounge,T1,Domestic,Offline,2026-06-09,
6381cf5adbe5380012906d5c,Level2,10.0,Promoter,Lounge,T1,Domestic,Offline,2026-05-12,
638209e5dbe5380012906e9a,GardenDiningSec2Lounge,10.0,Promoter,Lounge,T2,Domestic,Offline,2026-05-31,
6383c8bbdbe5380012907700,Unspecified,10.0,Promoter,Cab,,,Online,2026-06-03,
6389e4424f24aa001ad76cd3,chaipoint,10.0,Promoter,FnB,T1,Domestic,Offline,2026-04-07,
6389e4424f24aa001ad76cd3,kfc,10.0,Promoter,FnB,T1,Domestic,Offline,2026-04-21,
6389e4424f24aa001ad76cd3,subway,10.0,Promoter,FnB,T1,Domestic,Offline,2026-04-27,Great service.
6389e4424f24aa001ad76cd3,starbucksquad,10.0,Promoter,FnB,T1,Domestic,Offline,2026-05-06,
638a74ef4f24aa001ad770a3,RelaxLounge,1.0,Detractor,Lounge,T1,Domestic,Offline,2026-04-28,
638acb714f24aa001ad772c0,GardenDiningSec1Lounge,9.5,Promoter,Lounge,T2,Domestic,Offline,2026-06-15,I should mention SINDHU'S name for excellent service and sincere in work. Always smiling that's her positive response.
638f8726342f5c00132b775e,SportsBarArea,10.0,Promoter,Lounge,T1,Domestic,Offline,2026-06-17,Very good experience at the 080 lounge Bangalore
6391b0f0342f5c00132b7fc8,Unspecified,10.0,Promoter,Cab,,,Online,2026-04-10,
6394b4aa342f5c00132b937a,Level2,9.25,Promoter,Lounge,T1,Domestic,Offline,2026-06-10,
63958ea3342f5c00132b9836,starbuckswestpier,10.0,Promoter,FnB,T1,Domestic,Offline,2026-05-14,Super
639602b2342f5c00132b9c04,Unspecified,9.0,Promoter,Cab,,,Online,2026-05-07,
639809e8342f5c00132ba9b4,noodlewestpier,9.75,Promoter,FnB,T1,Domestic,Offline,2026-06-12,Cool...for early morning flyer and was good
6398f3bd342f5c00132bc260,streetfoodbypunjabgrill,10.0,Promoter,FnB,T1,Domestic,Offline,2026-05-24,"Really experience the nice and well groomed service by Miss Jayanthi at  Punjab grill, food is also really fresh and good at all"
6399505a342f5c00132bc6f5,cocoart,10.0,Promoter,Retail,T1,Domestic,Offline,2026-06-11,
63998d29342f5c00132bccba,Level2,10.0,Promoter,Lounge,T1,Domestic,Offline,2026-06-18,
6399a347342f5c00132bcf45,fabindia,10.0,Promoter,Retail,T1,Domestic,Offline,2026-06-13,Good
639a04944995b100136f5ec7,cothascoffee,10.0,Promoter,FnB,T2,Arrivalfc,Offline,2026-05-19,Good service cothas coffee staff
639a9c224ae72200125cedaa,starbucksquad,1.0,Detractor,FnB,T1,Domestic,Offline,2026-05-18,Good
639ad7dc4ae72200125cf898,bonvoyagearrv,9.0,Promoter,Retail,T2,Kerb,Offline,2026-06-15,Very good assesment and service
639c061d4ae72200125d1e28,DiningArea,10.0,Promoter,Lounge,T1,Domestic,Offline,2026-04-27,
639c061d4ae72200125d1e28,Level2,10.0,Promoter,Lounge,T1,Domestic,Offline,2026-06-11,Overall excellently maintained
639c336b4ae72200125d26fa,chaipointdsha,10.0,Promoter,FnB,T1,Domestic,Offline,2026-05-18,
639c54b74ae72200125d2b90,forestessentialdomestic,10.0,Promoter,Retail,T1,Domestic,Offline,2026-05-16,
639c6f9b4ae72200125d30f5,Level2,7.5,Passive,Lounge,T1,Domestic,Offline,2026-06-05,Better crowd management
639d17154ae72200125d4139,cothascoffee,5.5,Detractor,FnB,T2,Arrivalfc,Offline,2026-04-27,Super
639d179c4ae72200125d414b,starbuckswestpier,10.0,Promoter,FnB,T1,Domestic,Offline,2026-05-14,Surp
639d7ee64ae72200125d57e2,Unspecified,10.0,Promoter,FnB,,,Online,2026-04-20,
639d82a34ae72200125d58f3,cothascoffee,10.0,Promoter,FnB,T2,Arrivalfc,Offline,2026-05-19,Good Coffee
639d832c4ae72200125d5916,cothascoffee,10.0,Promoter,FnB,T2,Arrivalfc,Offline,2026-05-24,Very nice coffee in airport
639d9dd04ae72200125d604f,Level2,9.25,Promoter,Lounge,T1,Domestic,Offline,2026-06-18,"Its good.to see the enhancements to the lounge in the past few months. Its wonderful to see willing staff check in on guests regularly across the newly integrated lounge. Sivani R was courteous, smiled and was willing to share few details.

I wsh her and the lounge the best in the time ahead."
639dca1a4ae72200125d6e86,cothascoffee,10.0,Promoter,FnB,T2,Arrivalfc,Offline,2026-05-22,Nothing
639e10a44ae72200125d82df,themithaibox,10.0,Promoter,Retail,T2,Domestic,Offline,2026-06-04,Nice
639e39424ae72200125d872c,cothascoffee,10.0,Promoter,FnB,T2,Arrivalfc,Offline,2026-05-23,Nothing
639e39c64ae72200125d8754,cothascoffee,10.0,Promoter,FnB,T2,Arrivalfc,Offline,2026-05-28,Nice conversation with coustomer filter coffee is amazing
639e3f9b4ae72200125d884b,cothascoffee,9.0,Promoter,FnB,T2,Arrivalfc,Offline,2026-05-19,Good service
639e768a4ae72200125d8fd2,departmentalshop,10.0,Promoter,Retail,T1,Domestic,Offline,2026-06-14,
639e7fc34ae72200125d9454,cothascoffee,9.75,Promoter,FnB,T2,Arrivalfc,Offline,2026-05-23,Nothing
639e9a764ae72200125d9f7f,cothascoffee,10.0,Promoter,FnB,T2,Arrivalfc,Offline,2026-04-16,
639e9f164ae72200125da06f,cothascoffee,9.5,Promoter,FnB,T2,Arrivalfc,Offline,2026-04-19,Best cogfee
639ec2734ae72200125da7b6,anandsweetspos4,10.0,Promoter,Retail,T1,Domestic,Offline,2026-04-15,Good
639ec8954ae72200125da917,fossil,10.0,Promoter,Retail,T1,Domestic,Offline,2026-05-26,
639edaf44ae72200125dac66,fossil,10.0,Promoter,Retail,T1,Domestic,Offline,2026-06-10,
639edaf44ae72200125dac66,fabindia,10.0,Promoter,Retail,T1,Domestic,Offline,2026-06-19,Shahid was very help full  and very polite and suggested me a good kurtha I really like that thanks
639f10af4ae72200125db33e,fabindia,10.0,Promoter,Retail,T1,Domestic,Offline,2026-06-14,Awesome
63a054404ae72200125dca16,chaipoint,10.0,Promoter,FnB,T1,Domestic,Offline,2026-04-07,Good
63a054404ae72200125dca16,chaipointdsha,7.75,Passive,FnB,T1,Domestic,Offline,2026-04-30,Good ginger chai
63a08f4e4ae72200125dd1bc,artportdom,10.0,Promoter,Retail,T1,Domestic,Offline,2026-04-24,Good service
63a12f994ae72200125dd9b1,smoor,10.0,Promoter,FnB,T1,Domestic,Offline,2026-04-07,Good
63a175c14ae72200125de434,bluetokai,10.0,Promoter,FnB,T1,Domestic,Offline,2026-06-09,"In the airpot excellent food and beverage service. I really like the khichdi hot and fantastic. 
I had daal khichdi. 
Orange juice"
63a1b8f54ae72200125df454,CBBT2PorterService,1.0,Detractor,CBB,T2,All,Offline,2026-06-18,Porter service charges too high
63a1dc7f4ae72200125e02b1,NicobarLounge,8.6,Passive,Lounge,T2,International,Offline,2026-06-07,
